10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,CollegeState_Andhra Pradesh,CollegeState_Assam,CollegeState_Bihar,CollegeState_Chhattisgarh,CollegeState_Delhi,CollegeState_Goa,CollegeState_Gujarat,CollegeState_Haryana,CollegeState_Himachal Pradesh,CollegeState_Jammu and Kashmir,CollegeState_Jharkhand,CollegeState_Karnataka,CollegeState_Kerala,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Meghalaya,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Sikkim,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Union Territory,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Gender_f,Gender_m,CollegeTier_1,CollegeTier_2,Specialization_CE,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other,GraduationYear_0,GraduationYear_2007,GraduationYear_2009,GraduationYear_2010,GraduationYear_2011,GraduationYear_2012,GraduationYear_2013,GraduationYear_2014,GraduationYear_2015,GraduationYear_2016,GraduationYear_2017
81.92,61.46,57.54,565,465,415,0.843123727,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66.5,49.5,89.7,505,505,485,0.916869961,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,72.5,57.8,580,485,455,0.783303537,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85.2,81.5,57.64,545,385,485,0.600057182,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89.25,78,80,570,510,545,0.792936278,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58.4,64.8,80,440,415,554,0.793580615,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90.8,90.1,67.7,525,530,595,0.486747008,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,70.1,68.2,415,595,495,0.694479328,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89.88,95.4,80.8,555,475,635,0.694479328,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63.3,61.1,66.9,420,510,665,0.112139438,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,49,55,640,460,250,0.525922584,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,79,70,430,410,310,0.165633092,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85.3,88.3,85,370,375,325,0.356536488,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,77.8,65.35,535,510,390,0.20739217,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60.66,62.4,69.3,370,410,470,0.755375121,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,83,72.13,444,555,695,0.999904558,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89.37,79,70,630,580,510,0.338786347,0,292,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,94.4,76.12,505,525,595,0.124502074,615,233,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,79,71.5,510,500,575,0.493596387,455,324,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,86.67,77.55,535,465,535,0.910770164,445,433,0,0,0,0,0,-0.881,1.4368,0.3817,-0.4078,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84.4,73.2,70,570,410,535,0.670743151,455,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,92,76.4,625,645,605,0.982057124,385,388,0,0,606,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
86,64,61.17,665,545,415,0.911395278,405,0,500,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,75,60,675,480,500,0.842248322,425,0,469,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,64,67,510,480,485,0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,77,75,325,510,295,0.018540942,415,0,192,0,0,0,0,0.1282,0.0459,0.1637,0.0192,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70.6,78.67,75.84,580,485,510,0.053160305,285,196,0,0,0,0,0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
